id,cult,endo,trat,herb,biomasa_total,biomasa_reproductiva,biomasa_seca,biomasa_verde,hojas_totales,n_macollos_pre_ferti,nro_macollos_post_ferti,delta_macollos,panojas_final,panojas_inicial,delta_panojas,tasa_espigacion,spad,C_porcentaje,Nt_porcentaje,P_ppm,C_N_ratio,P_foliar_porcentaje,N_P_ratio,Mycelial_mass_ELISA,Ergovaline_ppm,Peramine_ppm,TotalLolines_ppm,NAL_ppm,NANL_ppm,NFL_ppm,hojas_danadas,area_foliar_daniada_porcentaje,prop_hojas_daniadas,area_daniada_total,peso_ensamble_herbivoros,peso_medio_inicial_herbivoro,peso_medio_final_herbivoro,herbivoros_recuperados,biomasa_total_herbivoros,ratio_BiomHerb_BiomAerea,hifas,vesiculas,arbusculos,colonizacion_total,raw_index_herbivory,index_herbivory,biom_radical
97,TA,E+,T3,H+,7.68,4.98,1.38,1.32,73,16,20,4,11,8,3,0.272727273,28.42,40.39,0.953,2166.7,42.3819517313746,0.21667,4.39839387086353,4.56818181818182,0,5.236,231.886,33.733,155.927,42.226,58,20.728,0.794520547945205,16.4688219178082,0.85,0.17,0.1975,1,0.1975,0.025716145833333,0,66.66666667,55.55555556,9,17,13.5068493150685,
98,TA,E-,T1,H-,7.78,2.19,1.32,4.27,109,18,31,13,3,2,1,0.090909091,29.96,39.51,1.291,2429.1,30.6041828040279,0.24291,5.31472561854185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30.76923077,76.92307692,13,NA,NA,
99,TA,E-,T3,H+,7.01,2.18,1.43,3.4,83,19,40,21,1,1,0,0,26.18,40.03,1.094,2625.3,36.5904936014625,0.26253,4.16714280272731,NA,NA,NA,NA,NA,NA,NA,38,5.861,0.457831325301205,2.68334939759036,0.7941,0.15882,0.26435,2,0.5287,0.075420827389444,11,33.33333333,55.55555556,45,8,3.66265060240964,
100,TA,E-,Control,H+,5.91,2.71,1.45,1.75,84,21,32,11,5,4,1,0.090909091,28.7,41.43,0.995,1922.4,41.6381909547739,0.19224,5.17582188930503,NA,NA,NA,NA,NA,NA,NA,30,6.377,0.357142857142857,2.2775,0.886,0.1772,0.1233,1,0.1233,0.020862944162437,10,14.28571429,71.42857143,49,8,2.85714285714286,
101,TA,E+,T1,H-,6.75,1.26,1.37,4.12,108,20,22,2,2,2,0,0,26.06,40.24,1.018,2644.1,39.5284872298625,0.26441,3.85008131311221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,3,NA,NA,
102,TA,E-,T3,H-,8.47,5.34,1,2.13,116,18,23,5,9,9,0,0,37.5,40.72,1.265,2514.9,32.1897233201581,0.25149,5.0300210743966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7.142857143,42.85714286,14,NA,NA,
103,TA,E-,Control,H-,7.16,3.52,1.76,1.88,112,13,22,9,11,1,10,0.909090909,27.66,40.94,1.117,1996.7,36.651745747538,0.19967,5.59423048029248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,73.68421053,10.52631579,19,NA,NA,
104,TA,E-,T3,H+,7.28,3.67,1.7,1.91,49,23,34,11,11,7,4,0.363636364,25.84,40.74,0.843,2109.5,48.3274021352313,0.21095,3.99620763214032,NA,NA,NA,NA,NA,NA,NA,34,13.399,0.693877551020408,9.29726530612245,0.9631,0.19262,0.3729,1,0.3729,0.051222527472528,3,11.11111111,55.55555556,9,12,8.3265306122449,
105,TA,E+,Control,H+,6.95,1.47,1.03,4.45,105,15,36,21,6,0,6,0.545454545,28.8,40.95,1.256,1848.5,32.6035031847134,0.18485,6.79469840411144,4.39408866995074,0,14.985,293.586,1.052,234.092,58.442,66,6.949,0.628571428571429,4.36794285714286,0.7022,0.14044,0.3941,1,0.3941,0.056705035971223,8,33.33333333,43.33333333,30,9,5.65714285714286,3.4769
106,TA,E-,T2,H-,8.24,4.71,1.43,2.1,75,21,26,5,8,5,3,0.272727273,26.96,40.68,1.011,2233.9,40.2373887240356,0.22339,4.52571735529791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,3.448275862,55.17241379,29,NA,NA,
107,TA,E-,Control,H+,3.99,1.65,1.56,0.78,48,14,28,14,6,3,3,0.272727273,26.52,40.06,1.163,2352.4,34.445399828031,0.23524,4.94388709403163,NA,NA,NA,NA,NA,NA,NA,48,46.714,1,46.714,0.7732,0.15464,0.21035,2,0.4207,0.105438596491228,8,10.52631579,52.63157895,19,21,21,
108,TA,E+,Control,H+,5.77,0.4,1.38,3.99,77,19,28,9,1,0,1,0.090909091,31.38,40.1,1.317,2041.4,30.4479878511769,0.20414,6.4514548839032,4.88636363636364,0,11.715,264.685,28.934,194.959,40.792,51,5.426,0.662337662337662,3.59384415584416,0.7348,0.14696,0.13145,2,0.2629,0.045563258232236,4,29.16666667,66.66666667,24,7,4.63636363636363,4.6739
109,TA,E+,T2,H+,6.6,1.59,1.27,3.74,78,17,33,16,3,0,3,0.272727273,30.82,39.57,1.258,2964.1,31.4546899841017,0.29641,4.24412131844405,2.75961538461538,0,15.128,223.925,2.922,173.216,47.787,54,8.305,0.692307692307692,5.74961538461538,0.8212,0.16424,0.3889,3,1.1667,0.176772727272727,4,0,80.95238095,21,8,5.53846153846154,
110,TA,E-,T1,H+,7,2.03,1.51,3.46,83,18,33,15,7,4,3,0.272727273,27.96,40.27,1.081,2841.3,37.2525439407956,0.28413,3.80459648752332,NA,NA,NA,NA,NA,NA,NA,67,27.143,0.807228915662651,21.9106144578313,0.9246,0.18492,0,0,0,0,3,26.31578947,68.42105263,19,17,13.7228915662651,
111,TA,E-,T1,H-,5.33,0,1.1,4.23,121,15,28,13,0,0,0,0,24.96,38.83,1.231,3542.1,31.5434606011373,0.35421,3.47533948787443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,12.5,0,8,NA,NA,3.6101
112,TA,E-,T2,H-,7.04,0,1.26,5.78,134,18,38,20,0,0,0,0,26.74,41.37,1.369,3028.1,30.2191380569759,0.30281,4.52098675737261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,58.82352941,58.82352941,17,NA,NA,
113,TA,E+,T3,H+,9.08,4.15,1.49,3.44,86,12,27,15,5,1,4,0.363636364,29.7,42.32,1.122,2821.5,37.7183600713012,0.28215,3.9766081871345,3.155,0,17.069,278.632,0.585,211.306,66.741,26,2.207,0.302325581395349,0.667232558139535,0.7131,0.14262,0,0,0,0,1,45.45454545,45.45454545,11,5,1.51162790697674,2.822
114,TA,E+,T1,H-,7.51,1.45,1.11,4.95,136,13,33,20,0,0,0,0,34.2,41.09,1.405,2829.5,29.2455516014235,0.28295,4.96554161512635,1.69414893617021,0,16.853,275.933,0.58,216.794,58.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8.695652174,65.2173913,23,NA,NA,
115,TA,E+,Control,H-,6.03,2.29,1.62,2.12,13,22,38,16,8,5,3,0.272727273,24.38,40.57,1.491,2020.4,27.2099262240107,0.20204,7.3797267867749,2.16435185185185,0,7.424,110.402,1.115,82.76,26.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,30,80,10,NA,NA,
116,TA,E-,T2,H-,8.59,2.68,1.22,4.69,181,19,45,26,6,3,3,0.272727273,31.26,41.43,1.645,2318.8,25.1854103343465,0.23188,7.09418664826634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,7,NA,NA,3.0021
117,TA,E+,T3,H-,7.85,1.88,1.24,4.73,140,20,28,8,7,1,6,0.545454545,31.04,40.99,1.515,3018,27.0561056105611,0.3018,5.01988071570576,NA,0,0.296,5.305,0.609,4.199,0.497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5,70,40,NA,NA,4.9336
118,TA,E+,Control,H-,9.67,5.68,1.41,2.58,161,23,44,21,6,6,0,0,28.58,42.73,1.307,1964.6,32.6931905126243,0.19646,6.65275374121959,3.61139896373057,0,10.122,308.961,26.627,203.054,79.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17.6,62.4,7.2,NA,NA,
119,TA,E-,T1,H+,5.97,2.62,0.93,2.42,69,11,25,14,5,4,1,0.090909091,33.48,42.05,1.154,1666.3,36.4384748700173,0.16663,6.92552361519534,NA,NA,NA,NA,NA,NA,NA,59,8.573,0.855072463768116,7.33053623188406,0.7888,0.15776,0.2952,2,0.5904,0.098894472361809,1,50,33.33333333,6,9,7.69565217391304,
120,TA,E+,Control,H+,5.01,0,1.15,3.86,85,18,38,20,0,0,0,0,29.16,38.28,1.573,2425.2,24.3356643356643,0.24252,6.48606300511298,2.04716981132076,0,9.663,72.071,5.649,52.126,14.296,68,3.533,0.8,2.8264,0.7979,0.15958,0.2702,1,0.2702,0.053932135728543,1,50,0,2,5,4,4.149
121,TA,E+,T2,H-,8.15,0,1.05,7.1,155,22,37,15,0,0,0,0,31.94,40.78,1.671,2747.8,24.4045481747457,0.27478,6.08122861925904,2.15284974093264,0,9.482,210.385,17.194,157.519,35.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,13.04347826,52.17391304,23,NA,NA,
122,TA,E+,Control,H-,7.77,4.24,1.19,2.34,121,16,26,10,10,7,3,0.272727273,29.58,42.9,1.17,1758.1,36.6666666666667,0.17581,6.6549115522439,NA,0,9.014,274.301,29.645,184.93,59.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,66.66666667,3,NA,NA,
123,TA,E-,Control,H+,5.71,1.43,1.14,3.14,67,15,35,20,3,3,0,0,24.66,41.42,1.245,2673.8,33.2690763052209,0.26738,4.65629441244671,NA,NA,NA,NA,NA,NA,NA,49,7.251,0.73134328358209,5.30297014925373,0.8472,0.16944,0.3042,2,0.6084,0.106549912434326,2,12.5,62.5,8,9,6.58208955223881,3.6113
124,TA,E+,T2,H+,7.03,4.2,1.4,1.43,70,24,37,13,11,11,0,0,28.34,42.41,0.853,1995.1,49.7186400937866,0.19951,4.27547491353817,1.60344827586207,0,4.473,207.066,23.731,152.236,31.099,54,24.873,0.771428571428571,19.1877428571429,0.8323,0.16646,0.3262,3,0.9786,0.139203413940256,0,0,0,0,17,13.1142857142857,2.9787
125,TA,E+,T1,H+,7.04,3.45,1.2,2.39,72,12,24,12,4,3,1,0.090909091,27.74,41.28,1.089,2259.8,37.9063360881543,0.22598,4.81901053190548,2.75833333333333,0,5.349,105.578,12.886,70.182,22.51,64,7.316,0.888888888888889,6.50311111111111,0.7294,0.14588,0.27237,3,0.81711,0.116066761363636,0,52.63157895,73.68421053,19,9,8,
126,TA,E-,T2,H+,5.54,1.74,1.93,1.87,64,14,31,17,6,2,4,0.363636364,31.34,37.99,0.981,1833,38.7257900101937,0.1833,5.3518821603928,NA,NA,NA,NA,NA,NA,NA,40,5.962,0.625,3.72625,0.989,0.1978,0,0,0,0,9,44,20,25,7,4.375,2.6245
127,TA,E+,Control,H-,6.57,0.7,1.39,4.48,131,20,54,34,0,0,0,0,28.2,38.62,1.277,2353.2,30.2427564604542,0.23532,5.4266530681625,3.32673267326733,0,20.635,424.879,47.729,301.259,75.891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,58.33333333,33.33333333,12,NA,NA,
128,TA,E+,T1,H+,6.06,0,2.31,3.75,93,17,43,26,0,0,0,0,26,37.73,1.44,2868.3,26.2013888888889,0.28683,5.0203953561343,3.62983425414365,0,26.075,341.248,29.808,268.457,42.983,41,4.907,0.440860215053763,2.16330107526882,0.7628,0.15256,0.294,2,0.588,0.097029702970297,3,63.63636364,18.18181818,11,8,3.5268817204301,4.6999
129,TA,E+,T3,H+,6.89,1.12,1.05,4.72,99,16,27,11,1,1,0,0,28.98,39.41,1.442,2506.7,27.3300970873786,0.25067,5.75258307735269,3.42713567839196,0,4.687,49.842,8.96,28.104,12.778,47,3.47,0.474747474747475,1.64737373737374,0.7337,0.14674,0.3735,1,0.3735,0.054208998548621,0,35.29411765,70.58823529,17,6,2.84848484848485,
130,TA,E+,T3,H-,9.27,4.95,2.08,2.24,123,15,38,23,9,9,0,0,29.08,41.39,1.21,2050.4,34.2066115702479,0.20504,5.90128755364807,4.24242424242424,0,10.608,253.212,20.143,165.317,67.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12.5,62.5,8,NA,NA,
131,TA,E-,T3,H-,7.38,2.84,0.96,3.58,93,18,31,13,7,5,2,0.181818182,25.8,39.93,1.179,2496.3,33.8676844783715,0.24963,4.72299002523735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,92.85714286,7.142857143,14,NA,NA,
132,TA,E+,Control,H-,7.8,0,0.96,6.84,272,24,57,33,0,0,0,0,24.48,38.86,1.483,2419.5,26.2036412677006,0.24195,6.12936557139905,4.85024154589372,0,25.584,307.423,22.787,238.975,45.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,75,4,NA,NA,
133,TA,E+,T1,H+,5.78,0,2.4,3.38,94,25,38,13,0,0,0,0,31.68,36.72,1.619,3012.9,22.6806670784435,0.30129,5.373560357131,10.1578947368421,0,15.837,178.45,13.526,123.877,41.047,79,3.213,0.840425531914894,2.70028723404255,0.707,0.1414,0.24025,2,0.4805,0.083131487889273,0,100,20,5,7,5.88297872340426,5.2943
134,TA,E-,T2,H-,4.51,0,0.86,3.65,117,16,28,12,0,0,0,0,35.04,37.83,1.455,4477.3,26,0.44773,3.2497263976057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,66.66666667,15,NA,NA,
135,TA,E-,Control,H+,7.29,3.4,1.5,2.39,89,20,32,12,8,7,1,0.090909091,30.88,40.56,1.182,1868.3,34.3147208121827,0.18683,6.3266070759514,NA,NA,NA,NA,NA,NA,NA,85,13.478,0.955056179775281,12.8722471910112,0.8166,0.16332,0.34955,2,0.6991,0.095898491083676,9,0,50,18,12,11.4606741573034,
136,TA,E+,T2,H-,8.58,4.28,1.02,3.28,144,19,33,14,10,8,2,0.181818182,27.02,42.05,1.294,1655.8,32.4961360123648,0.16558,7.81495349679913,4.47380952380952,0,12.78,167.679,1.633,124.756,41.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,57.14285714,28.57142857,7,NA,NA,
137,TA,E-,T3,H+,8.53,5.39,1.89,1.25,48,23,26,3,11,10,1,0.090909091,27.66,41.35,0.938,2310.6,44.0831556503198,0.23106,4.05955163161084,NA,NA,NA,NA,NA,NA,NA,37,4.303,0.770833333333333,3.31689583333333,0.8242,0.16484,0.23565,2,0.4713,0.05525205158265,5,33.33333333,66.66666667,39,7,5.39583333333333,2.4974
138,TA,E+,T2,H+,4.68,1.25,1.33,2.1,53,18,32,14,3,2,1,0.090909091,30.1,41.65,1.081,1914,38.5291396854764,0.1914,5.6478578892372,0.8,0,0.526,12.641,1.233,8.636,2.772,49,15.598,0.924528301886792,14.4207924528302,0.7919,0.15838,0.3754,2,0.7508,0.16042735042735,4,47.05882353,58.82352941,17,12,11.0943396226415,
139,TA,E+,T2,H+,4.59,0,1.37,3.22,116,24,45,21,0,0,0,0,27.16,38.48,1.029,2214.7,37.3955296404276,0.22147,4.64622748001987,4.09438775510204,0,24.599,289.825,35.076,189.069,65.68,102,5.321,0.879310344827586,4.67881034482759,0.7798,0.15596,0.23725,2,0.4745,0.103376906318083,2,33.33333333,50,12,8,7.03448275862069,
140,TA,E+,T1,H+,7.71,2.39,1.27,4.05,71,10,20,10,4,2,2,0.181818182,33.26,40.79,1.294,1784.4,31.5224111282844,0.17844,7.25173727863708,4.78472222222222,0,2.081,40.358,5.005,22.275,13.078,60,9.773,0.845070422535211,8.25887323943662,0.7175,0.1435,0.32345,2,0.6469,0.08390402075227,1,83.33333333,0,6,11,9.29577464788732,
141,TA,E-,T3,H+,4.21,0,1.29,2.92,64,18,31,13,0,0,0,0,32.2,38.02,1.587,4395.8,23.9571518588532,0.43958,3.61026434323673,NA,NA,NA,NA,NA,NA,NA,42,3.934,0.65625,2.5816875,0.8959,0.17918,0,0,0,0,3,66.66666667,0,9,6,3.9375,4.5744
142,TA,E+,T2,H-,7.05,0,1.54,5.51,198,24,39,15,0,0,0,0,34.44,38.22,1.61,2835.7,23.7391304347826,0.28357,5.67761046655147,3.97804878048781,0,17.233,301.057,25.774,222.946,52.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,NA,NA,4.1702
143,TA,E+,Control,H-,7.75,2.54,1.45,3.76,99,13,35,22,5,3,2,0.181818182,21.7,40.36,1.285,2485,31.408560311284,0.2485,5.17102615694165,1.54973821989529,0,7.61,193.379,19.467,144.77,29.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,57.14285714,7,NA,NA,3.3696
144,TA,E+,T3,H+,7.62,1.57,1.08,4.97,86,14,32,18,2,2,0,0,28.66,40.84,1.387,2901.8,29.4448449891853,0.29018,4.77979185333241,2.5280612244898,0,0,158.968,16.423,110.914,31.631,45,4.507,0.523255813953488,2.35831395348837,0.913,0.1826,0.3851,1,0.3851,0.050538057742782,4,0,42.85714286,7,8,4.1860465116279,
145,TA,E+,T1,H+,6.45,1.64,1.94,2.87,102,18,39,21,5,0,5,0.454545455,32.6,41.74,1.568,2203.4,26.6198979591837,0.22034,7.11627484796224,3.86170212765957,0,7.465,271.741,27.457,210.545,33.739,63,4.345,0.617647058823529,2.68367647058824,0.8152,0.16304,0.3366,1,0.3366,0.052186046511628,5,16.66666667,75,24,7,4.3235294117647,
146,TA,E-,T2,H+,6.42,2.62,1.27,2.53,74,16,25,9,7,5,2,0.181818182,26.24,41.33,0.962,2215.3,42.962577962578,0.22153,4.34252697151627,NA,NA,NA,NA,NA,NA,NA,48,10.95,0.648648648648649,7.1027027027027,0.8388,0.16776,0.28855,2,0.5771,0.089890965732087,0,0,100,1,11,7.13513513513514,
147,TA,E+,T1,H-,8.08,4.5,1.76,1.82,118,16,31,15,11,5,6,0.545454545,33.54,41.16,1.176,1944.8,35,0.19448,6.0468942821884,2.56009615384615,0,11.666,260.448,22.258,191.954,46.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,16.66666667,50,6,NA,NA,
148,TA,E+,T1,H-,6.61,0,1.12,5.49,166,23,42,19,0,0,0,0,28.58,38.07,1.392,2672.9,27.3491379310345,0.26729,5.20782670507688,NA,0,0.49,15.615,2.405,8.576,4.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,70,0,10,NA,NA,
149,TA,E+,T3,H-,5.74,0,1,4.74,137,19,39,20,0,0,0,0,29.56,37.43,1.319,2642.5,28.3775587566338,0.26425,4.9914853358562,2.2025,0,11.02,239.306,17.882,196.448,24.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,82.14285714,7.142857143,28,NA,NA,4.1885
150,TA,E+,T2,H-,8.4,4.24,1.58,2.58,111,11,27,16,7,5,2,0.181818182,27.98,40.21,0.98,1719.5,41.030612244898,0.17195,5.6993312009305,1.959375,0,8.796,261.853,24.436,201.813,35.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9.090909091,18.18181818,11,NA,NA,3.4869
151,TA,E-,T1,H-,6.94,1.63,1.17,4.14,144,22,32,10,4,3,1,0.090909091,23.04,40.22,1.234,2634.2,32.5931928687196,0.26342,4.68453420393288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,76.47058824,35.29411765,34,NA,NA,3.4469
152,TA,E-,T3,H-,7.14,1.61,1.08,4.45,153,16,32,16,3,2,1,0.090909091,24.02,41.01,1.153,3040.4,35.5680832610581,0.30404,3.79226417576635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,13.33333333,66.66666667,15,NA,NA,
153,TA,E+,T2,H+,7.59,1.58,1.62,4.39,89,18,36,18,2,0,2,0.181818182,29.22,40.45,1.504,2942.8,26.8949468085106,0.29428,5.11077885007476,4.51025641025641,0,16.943,358.802,40.33,260.569,57.903,59,6.337,0.662921348314607,4.20093258426966,0.8227,0.16454,0,0,0,0,5,50,41.66666667,24,9,5.96629213483146,
154,TA,E+,T3,H-,6.38,0,1.12,5.26,200,22,51,29,0,0,0,0,24.52,38.76,1.479,3138.7,26.2068965517241,0.31387,4.71214196960525,3.14766839378238,0,17.892,289.594,25.072,224.918,39.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,91.66666667,12,NA,NA,
155,TA,E+,T3,H-,7.61,3.44,1.08,3.09,135,20,35,15,8,4,4,0.363636364,28.2,39.84,1.044,3107.1,38.1609195402299,0.31071,3.36004634546683,4.54589371980676,0,10.525,251.762,19.027,183.826,48.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,70,10,10,NA,NA,
156,TA,E-,T1,H+,5.68,0,1.42,4.26,119,17,35,18,0,0,0,0,32.14,40.75,1.541,3250.9,26.4438676184296,0.32509,4.74022578362915,NA,NA,NA,NA,NA,NA,NA,91,5.775,0.764705882352941,4.41617647058824,0.7499,0.14998,0.2356,1,0.2356,0.041478873239437,8,10,10,10,7,5.35294117647059,3.1326
157,TA,E-,Control,H+,5.09,0,1.25,3.84,81,12,26,14,0,0,0,0,34.28,39.83,1.246,2904.2,31.9662921348315,0.29042,4.29033813098272,NA,NA,NA,NA,NA,NA,NA,58,6.528,0.716049382716049,4.67437037037037,0.8739,0.17478,0.1789,3,0.5367,0.105442043222004,9,67.85714286,3.571428571,28,8,5.72839506172839,
158,TA,E+,T2,H-,8.04,1.09,1.33,5.62,112,14,28,14,1,1,0,0,33.08,40.03,1.352,2197.2,29.6079881656805,0.21972,6.1532860003641,3.20952380952381,0,11.751,344.488,30.666,260.499,53.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,70.96774194,19.35483871,31,NA,NA,
159,TA,E+,Control,H+,4.39,0.56,1.01,2.82,72,16,35,19,0,0,0,0,29.4,40.47,1.08,1735,37.4722222222222,0.1735,6.22478386167147,NA,NA,NA,NA,NA,NA,NA,34,7.659,0.472222222222222,3.61675,0.8398,0.16796,0.2978,1,0.2978,0.067835990888383,2,0,66.66666667,6,8,3.77777777777778,
160,TA,E-,T1,H-,7.86,4.42,1.65,1.79,58,12,25,13,8,7,1,0.090909091,27.32,41.85,0.848,1523.3,49.3514150943396,0.15233,5.56686141928707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,75,25,4,NA,NA,
161,TA,E-,T1,H-,7.03,1.51,1.9,3.62,141,20,30,10,3,2,1,0.090909091,29.28,40.68,1.431,2161.7,28.4276729559748,0.21617,6.61978998010825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,3,NA,NA,
