id,cult,endo,trat,herb,biomasa_total,biomasa_reproductiva,biomasa_seca,biomasa_verde,hojas_totales,n_macollos_pre_ferti,nro_macollos_post_ferti,delta_macollos,panojas_final,panojas_inicial,delta_panojas,tasa_espigacion,spad,C_porcentaje,Nt_porcentaje,P_ppm,C_N_ratio,P_foliar_porcentaje,N_P_ratio,Mycelial_mass_ELISA,Ergovaline_ppm,Peramine_ppm,TotalLolines_ppm,NAL_ppm,NANL_ppm,NFL_ppm,hojas_danadas,area_foliar_daniada_porcentaje,prop_hojas_daniadas,area_daniada_total,peso_ensamble_herbivoros,peso_medio_inicial_herbivoro,peso_medio_final_herbivoro,herbivoros_recuperados,biomasa_total_herbivoros,ratio_BiomHerb_BiomAerea,hifas,vesiculas,arbusculos,colonizacion_total,raw_index_herbivory,index_herbivory,biom_radical
54,WT,E+,T3,H-,5.28,0,1.02,4.26,226,28,49,21,0,0,0,0,37.18,39.35,2.101,4582.3,18.7291765825797,0.45823,4.58503371669249,6.08994708994709,0.736,6.868,242.816,35.69,29.367,177.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9.090909091,90.90909091,33,NA,NA,
55,WT,E+,T3,H+,5.93,3.07,2.17,0.69,15,21,21,0,4,4,0,0,22.48,39.32,0.986,2752.5,39.8782961460446,0.27525,3.58219800181653,NA,0,0.08,5.25,1.437,0.592,3.221,12,45.64,0.8,36.512,0.8618,0.17236,0.2075,2,0.415,0.069983136593592,0,66.66666667,66.66666667,3,21,16.8,
56,WT,E+,Control,H-,8.35,1.26,1.17,5.92,129,26,32,6,1,1,0,0,34.68,40.5,2.901,4249.6,13.9607032057911,0.42496,6.82652484939759,4.74744897959184,1.622,11.714,375.278,51.189,56.197,267.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0,53.84615385,39,NA,NA,
57,WT,E+,T3,H+,5.62,0,1.14,4.48,120,33,38,5,0,0,0,0,23.96,38.53,1.519,3377.4,25.3653719552337,0.33774,4.49754248830461,8.06486486486486,4.286,11.255,637.276,74.868,104.657,457.751,59,8.082,0.491666666666667,3.97365,0.738,0.1476,0.1975,1,0.1975,0.035142348754448,1,66.66666667,0,3,9,4.425,
58,WT,E+,T3,H-,7.08,2.11,1.54,3.43,109,18,31,13,6,5,1,0.090909091,31.76,39.95,1.622,3000.8,24.6300863131936,0.30008,5.40522527326046,4.34146341463415,1.383,4.367,295.83,53.388,38.71,203.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,11.76470588,52.94117647,34,NA,NA,
59,WT,E+,T1,H+,8.08,6.13,1.06,0.89,55,23,40,17,12,12,0,0,29.28,41.49,1.034,2494.4,40.1257253384913,0.24944,4.14528543938422,10.0162790697674,2.676,13.114,546.433,0.669,80.488,465.276,0,NA,0,NA,0.7009,0.14018,0,0,0,0,0,100,0,3,NA,NA,
60,WT,E+,T2,H-,7.09,0,1.18,5.91,130,19,32,13,0,0,0,0,32.1,39.73,1.422,3188.7,27.9395218002813,0.31887,4.45949760090319,10.1226851851852,0.694,7.673,293.657,36.485,44.745,212.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,82.85714286,17.14285714,35,NA,NA,5.7056
61,WT,E+,T2,H+,5.62,0,0.98,4.64,82,17,31,14,0,0,0,0,30.26,40.67,1.59,3016.4,25.5786163522013,0.30164,5.27118419307784,9.93413173652695,1.844,8.902,377.914,83.139,75.707,219.068,79,9.381,0.963414634146341,9.03779268292683,0.7502,0.15004,0.3189,1,0.3189,0.056743772241993,2,50,42.85714286,14,10,9.63414634146341,6.6649
62,WT,E+,T3,H+,6.21,1.47,1.22,3.52,123,22,35,13,0,0,0,0,32.52,38.37,1.44,4367.9,26.6458333333333,0.43679,3.29677877240779,1.48837209302326,0,0.05,3.139,0.604,1.082,1.453,55,NA,0.447154471544715,NA,0.7828,0.15656,0.1359,1,0.1359,0.021884057971015,32,17.1875,42.1875,64,NA,NA,
63,WT,E+,Control,H-,6.35,0,1.66,4.69,119,23,26,3,3,0,3,0.272727273,31.86,37.94,1.81,4143.8,20.9613259668508,0.41438,4.36797142719243,2.91818181818182,2.811,2.477,179.421,25.203,21.765,132.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,24.3902439,53.65853659,41,NA,NA,
